c0ld Ninja Battle 2026 - Final Roster
75 roster entries

Format: Roblox username | Discord username | Discord user ID

1. infinitelygratefulx | @m00nlitw0undsxo | 1404142018887684267
2. zabimar420 | @zabimaru420 | 278634046966202369
3. 0ffxIkea | @fsai | 811047576269750302
4. MercilessBanditTaken | @mercilessbandit | 1013975324276559884
5. AguilaPvP | @orlion_ | 279436788777484289
6. zoggi10 | @qzau | 862616844690391040
7. dezisp2w | @circlepresser | 505244969754427393
8. danr1234450 | @Street2m3 | 1248678985328627824
9. dragonballx1412 | @corrosionv2 | 1040727894621696122
10. TheGoldenHuskyAlt | @itzgoldie_ | 513928285407936533
11. Blam_BB | @blam01 | 563458496591560734
12. Kazuya030Y | @kazuyaw | 829053741931298836
13. Cinnamowopal | @oaple | 652595309263716372
14. ItsGaterNotGator | @gater_0_36593 | 1215897225033420810
15. anrijs9991 | @anrijstalks01_50866 | 1333829442698477653
16. BHD431 | @bhd431 | 1158514851669360700
17. ldkSky | @ldksky | 1325534261914108037
18. carloskar08 | @mrbenzy67 | 292987197013884938
19. praisevolxtz | @4xph | 1348909957457903668
20. Ey3d46 | @shadow_does_gaming | 969882896666066964
21. 2scythe0 | @scytheskii | 1191280147588993039
22. RealYoDream | @gr4pyx | 1310226386253774865
23. cloudedseven56 | @tazerrazer | 402554250216865802
24. 0k_0w | @v._xy | 769967064043094037
25. StanleyFox92 | @stanleyfox92 | 470923759193161729
26. projectsupramev2 | @y30 | 1490091159173726229
27. 3v4nz01 | @3v4nz01 | 1432555304419065948
28. Bub2540 | @brandonn25 | 1165348283238076498
29. noa420 | @__noa_. | 402794194663637002
30. charaLifee | @charalife | 656229914042826792
31. selena082319 | @eunhye01 | 430386458306674708
32. FlipFlopFloop417 | @solorclasher | 864254127215214612
33. YoBaskett | @baskettcase | 141949707445338112
34. J2X1NESIWXID | @majinbacon | 1354200315884470364
35. TCG_Wayne2 | @balloo521 | 1059370299432390696
36. wyatiki | @69.4 | 599991968092913685
37. Misia21252 | @joxnyxzz67. | 1452402829481349171
38. JustCaIIMeEgg | @itzeg | 693517985490403489
39. 2rello | @braydennsss | 898011893552279642
40. sebastjan35 | @seba386 | 851691102360829963
41. zerz06 | @luskai06 | 929069433819902042
42. DahRealXaViMaVi2 | @xavimavi2 | 1102644961423409182
43. M4thou3 | @cyberdoge7181 | 1132748534517612544
44. coolgur0 | @eclipse4wins | 1195125931757539339
45. psst1422 | @psst148 | 1084195208440316006
46. JimmyCIeetus | @jimmycleetus | 677231354873643083
47. PtiDoriankt | @_nullun_. | 1241759765076377665
48. killerboy143279 | @cheeseemaster | 1495120484625420472
49. ThatsMyBirth | @karmatime | 414822853368610816
50. mawahlah | @07maw | 716102355787186178
51. Odderuh | @odduder | 1462341457695215656
52. proto123q | @la4izar | 1005452826606047232
53. Nuxx7 | @z.ee | 378795177092972545
54. IStoleYourChica | @jamont0ast | 1320032853555282032
55. kurtis2345789 | @repoi. | User ID unknown
56. uzuisnipes | @wavy1xx | 982719187308924928
57. kyle558888 | @vaultofmusic | 1371620102365249626
58. ceficat | @elliespuppy | 789156714292183050
59. Rostislavvv155 | @rostislavvv_1 | 715518924598411365
60. Sch1zos_25 | @_sch1zo | 544622605156745226
61. matmat32 | @_bruhhh1 | 374309620166033418
62. itsmason3725 | @not_mason3725. | 886785227249295370
63. flexmyspa1 | @noedec | 1342917270174826589
64. 840game | @dog2489 | 1331748707376431207
65. AgentP_0928 | @arcticgalaxy149 | 763895199062687775
66. Jozula12 | @pepek__ | 982612967206031370
67. sosd35 | @the_cameraman_sos | 480456446748917762
68. lOleristl | @Olerist | 691304983299358801
69. Savvag3e | @savage8010 | 531058447156903938
70. TurtlesRCool900 | @literallyalwaysbro | 1395231067413151755
71. azmvoisshot | @f4ln | 746949608797896734
72. Kessho02 | @soulivan71 | 165533461241659403
73. Weller457sk | @weller457 | 872932275979956265
74. MercBandit_08 | @mercilessbandit | 1013975324276559884
75. MercBandit_07 | @mercilessbandit | 1013975324276559884
